question_id,subsection_id,photo_report_count,report_messages,first_report_at,last_report_at,flagged,visible,question,answer
(7ad=Wj*`,congenital-syndromes,2,Need image | No image,2026-04-25 17:24:39.193999,2026-04-29 20:09:43.316646,true,false,"A 12-month-old male infant presents with a congenital facial abnormality that has been present since birth. What syndrome is most likely responsible for this condition?
A) Apert syndrome
B) Crouzon syndrome
C) Goldenhar syndrome
D) Saethre-Chotzen syndrome
E) Treacher Collins syndrome","E)
Treacher Collins syndrome is the correct diagnosis. This condition, also called mandibulofacial dysostosis or Franceschetti-Zwahlen-Klein syndrome, characteristically presents with bilateral lower eyelid colobomas as shown in this case. It follows an autosomal dominant inheritance pattern with variable expression and occurs in approximately 1 in 7,000 births. The syndrome encompasses multiple facial abnormalities including lower lid colobomas, hypoplastic cheekbones, cleft lateral orbital walls, underdeveloped jaw, downward-slanting eyes, ear malformations, extended sideburns, anterior open bite, cleft palate, and enlarged mouth opening. A) Apert syndrome is incorrect because it primarily involves craniosynostosis with bicoronal suture fusion, midface hypoplasia, and syndactyly of digits, but does not cause eyelid colobomas. B) Crouzon syndrome is incorrect as it features craniosynostosis and midface underdevelopment without eyelid abnormalities. C) Goldenhar syndrome is incorrect because it presents with epibulbar dermoids and unilateral or bilateral facial underdevelopment (hemifacial microsomia) rather than eyelid colobomas. D) Saethre-Chotzen syndrome is incorrect as it involves craniosynostosis with bicoronal suture involvement and midface hypoplasia but lacks eyelid defects."
sd5k.Y(Dqq,hand-tumors,2,Need image | No photo,2026-04-27 14:18:02.530178,2026-05-05 00:50:23.055564,true,false,"A 24-year-old female presents to the emergency room following a left thumb injury sustained during a basketball game. An unexpected finding is noted on the hand x-ray examination. What is the most probable diagnosis?
A) Enchondromatosis
B) Metachondromatosis
C) Osteochondroma
D) Solitary enchondroma
E) Synovial chondromatosis","D)

The radiographic finding demonstrates characteristics typical of an enchondroma, displaying the pathognomonic ring-and-arc calcification pattern, central medullary location, and involvement of the proximal phalanx. These lesions may cause cortical endosteal scalloping due to expansion. Individual enchondromas represent the most prevalent benign bone tumors, with a particular affinity for the small bones of hands and feet. The proximal phalanx accounts for roughly 50% of cases, with metacarpals and middle phalanges following in frequency. These tumors comprise 12-14% of benign bone neoplasms and 3-10% of all bone tumors, affecting both sexes equally. Individual enchondromas typically present as incidental findings in patients aged 20-40 years. A) Enchondromatosis (Ollier disease) is incorrect because it typically manifests from birth to age 10 and involves multiple lesions. B) Metachondromatosis is incorrect as it's a rare hereditary condition featuring both multiple enchondromas and osteochondromas. C) Osteochondroma is incorrect because it appears as a cartilage-capped bony projection on the external bone surface, not within the medullary cavity. E) Synovial chondromatosis is incorrect as it involves cartilaginous loose bodies within joint synovium, not intraosseous lesions."
prRN)*T1:V,skin-lesions,2,Need image | Was there to be a photo with this one? or MRI?,2026-04-24 12:45:14.989233,2026-04-28 16:39:36.68432,true,false,"A term infant is delivered by cesarean section due to a prenatally identified mass in the back of the neck. An MRI has been obtained. Following delivery, the infant shows no signs of respiratory distress. What is the most appropriate initial management approach?
A) Propranolol therapy
B) Tissue biopsy via incision
C) Sclerotherapy treatment
D) Complete surgical removal
E) Watchful waiting","C)
This represents a macrocystic lymphatic malformation (previously called cystic hygroma) that was identified before birth. Sclerotherapy is now the preferred initial treatment for these lesions in newborns, as it can be safely performed and is less risky than surgical resection in this age group, especially when the malformation extends toward central structures. A) Propranolol is incorrect because it is used for infantile hemangiomas, which don't begin proliferating until after birth and appear as vascular masses rather than cystic structures. B) Incisional biopsy is incorrect because the diagnosis can be made based on imaging characteristics, and biopsy is unnecessary. D) Surgical resection is incorrect because it carries significant risk in a neonate, particularly when the lesion extends toward midline structures. E) Observation only is incorrect because active treatment with sclerotherapy is indicated and effective for macrocystic lymphatic malformations."
IHU^(kjd|I,anatomy,1,Not able to see a radiograph,2026-04-15 14:02:49.855085,2026-04-15 14:02:49.855085,true,false,"A 6-year-old male child is presented to the clinic by his mother due to her worry about an abnormality affecting the fifth digit of his right hand. She reports that this abnormality has existed for about 3 years but has become increasingly noticeable over the past year. During physical examination, the patient demonstrates ability to bend the proximal interphalangeal joint but is unable to straighten it past the position depicted in the radiograph. The fifth digit of his left hand shows similar involvement, though to a lesser degree. What is the most probable diagnosis?
A) Camptodactyly
B) Delta phalanx
C) Kirner deformity
D) Symphalangism
E) Trigger finger","A)
Camptodactyly is the correct diagnosis because it presents as a congenital flexion contracture of the proximal interphalangeal joint that becomes more pronounced over time, matching this patient's presentation of progressive inability to extend the PIP joint beyond a fixed flexed position. The bilateral involvement with asymmetric severity is also characteristic of this condition. B) Delta phalanx is incorrect because it causes clinodactyly (angular deviation) rather than flexion contracture, and would show a triangular-shaped phalanx on radiographs. C) Kirner deformity is incorrect because it specifically affects the distal phalanx with palmar and radial curvature, typically occurring in preadolescence, not the PIP joint. D) Symphalangism is incorrect because it presents with complete joint stiffness and absence of flexion creases, whereas this patient can flex the joint. E) Trigger finger is incorrect because it most commonly affects the thumb's interphalangeal joint in children and involves a catching or locking mechanism rather than a fixed contracture."
n+gIB#1je},anatomy,1,no image,2026-05-02 20:07:06.005519,2026-05-02 20:07:06.005519,true,false,"A 6-month-old male infant has bilateral radial longitudinal deficiency with thumb hypoplasia. The X-ray is provided. What test would be most appropriate to exclude Fanconi anemia in this patient?
A) Bone marrow biopsy
B) Chromosomal breakage testing
C) Complete blood count with differential
D) Peripheral blood smear
E) Renal ultrasonography","B)
The correct answer is chromosomal breakage testing. This test is the most reliable method to diagnose Fanconi anemia in young children with radial longitudinal deficiency (RLD). Since children with Fanconi anemia typically do not develop aplastic anemia detectable on routine blood work until after age 3, chromosomal breakage testing allows for earlier identification of this potentially life-threatening condition. All children with RLD require comprehensive evaluation due to frequent associated syndromes including TAR syndrome, Holt-Oram syndrome, VACTERL syndrome, and Fanconi anemia. A is incorrect because bone marrow biopsy would not be diagnostic for Fanconi anemia in this age group and is more invasive than necessary. C is incorrect because complete blood counts are typically normal in young children with Fanconi anemia before age 3. D is incorrect because peripheral blood smears would not reveal the chromosomal abnormalities characteristic of Fanconi anemia. E is incorrect because while renal ultrasonography is part of the comprehensive workup for RLD, it does not specifically diagnose Fanconi anemia."
K57vp+$)4|,cleft-lip-palate,1,needs photo,2026-04-15 17:06:44.312632,2026-04-15 17:06:44.312632,true,false,"A 33-year-old female presents with hypernasal voice quality and air leakage through the nose during speech. She had tonsillectomy and adenoidectomy performed 10 weeks prior. Palatal transillumination findings are demonstrated. What is the most suitable treatment approach to restore normal speech function in this patient?
A) Autologous fat injection to tonsillar pillars
B) Orticochea pharyngeal reconstruction
C) Palatal repair surgery
D) Tensor veli palatini tendon fixation
E) Conservative management with speech therapy","C)
The transillumination image reveals the absence of a normal levator muscle sling characteristic of an occult submucous cleft palate. Velopharyngeal insufficiency following tonsillectomy is an uncommon but recognized complication, occurring in approximately 1:3000 to 1:10,000 cases. This complication typically affects patients with either hidden or obvious submucous cleft palate anatomy. The surgical principle involves either reconstructing normal anatomy through two-flap palatoplasty or reconnecting the levator muscles to create a functional sling. Palate lengthening procedures, such as Furlow repair, help seal nasal air escape and improve velopharyngeal function. A) Autologous fat injection to tonsillar pillars would not address the underlying levator muscle deficiency. B) Orticochea pharyngeal reconstruction is not the primary treatment for this specific anatomical defect. D) Tensor veli palatini tendon fixation stabilizes the tensor tympani tendon during cleft repair and maintains eustachian tube patency but does not correct velopharyngeal insufficiency. E) After 8 weeks of velopharyngeal insufficiency, speech therapy alone cannot overcome the structural absence of the levator muscle sling."
I<6WL!@^_),congenital-syndromes,1,Need image,2026-04-29 20:09:12.726071,2026-04-29 20:09:12.726071,true,false,"A 12-month-old male infant is brought to consultation by his primary care physician due to concerns about possible premature suture fusion. The child is otherwise well and meeting developmental targets normally. The family notes a prominent ridge along the center of his forehead that became apparent around 3 months of age. Clinical evaluation reveals a palpable central ridge with otherwise normal facial appearance. Imaging studies ordered by the referring physician are provided. What is the most suitable treatment approach?
A) Additional radiographic imaging with plain films
B) Minimally invasive strip craniectomy followed by cranial molding helmet
C) Frontal bone and orbital rim reconstruction
D) Genetic analysis for fibroblast growth factor receptor mutations (types 1, 2, and 3)
E) Continued monitoring without intervention","E)
The appropriate management is continued observation without surgical intervention. The metopic suture differs from other skull sutures because it physiologically closes within the first year of life, unlike other cranial sutures that remain open until the third decade. Therefore, finding a fused metopic suture at 12 months is within normal limits. True pathological metopic synostosis produces trigonocephaly, characterized by triangular head shape with midline frontal prominence, narrowed frontal and lateral orbital regions, widened parietal areas, and closely spaced eyes. This patient exhibits only an isolated metopic ridge, which represents a normal anatomical variation rather than pathological fusion. The cranial and facial morphology determines whether surgical correction is needed. A is incorrect because the CT imaging already confirms metopic fusion, making additional plain radiographs unnecessary for diagnosis. B is incorrect because this patient has normal facial contours without trigonocephaly, so surgery is not indicated; additionally, endoscopic techniques are typically ineffective beyond 3 months of age. C is incorrect because the normal facial appearance and absence of trigonocephaly do not warrant major reconstructive surgery. D is incorrect because fibroblast growth factor receptor mutations are associated with coronal synostosis, not isolated metopic synostosis."
M=KG7$NS/Z,congenital-syndromes,1,Need image,2026-04-29 19:52:20.643711,2026-04-29 19:52:20.643711,true,false,"A 14-year-old male presents to the emergency room following trauma from a fall. Clinical examination reveals muscle entrapment within the orbit. Imaging studies have been obtained. Operative intervention is being considered. What is the most suitable surgical approach for making an incision in this case?
A) Bicoronal
B) Lateral brow
C) Orbital rim
D) Subciliary
E) Transcaruncular","E)
The transcaruncular approach is the optimal choice for this isolated medial orbital wall fracture with medial rectus muscle entrapment. This technique provides excellent access to the medial wall and can be combined with other approaches if needed for floor involvement. A) Bicoronal incision is incorrect because it provides unnecessary extensive exposure with higher morbidity including increased bleeding and scarring, making it excessive for a simple medial wall fracture. B) Lateral brow incision is incorrect as it does not provide adequate visualization or access to the medial orbital wall where the fracture is located. C) Orbital rim incision is incorrect because it fails to give sufficient exposure to properly address the entrapped medial rectus muscle and repair the medial wall defect. D) Subciliary incision is incorrect since it primarily accesses the orbital floor rather than the medial wall where the pathology exists."
o}AZZ8U:@i,congenital-syndromes,1,Need image,2026-05-03 13:32:55.928565,2026-05-03 13:32:55.928565,true,false,"A 5-year-old child presents with progressive downward and outward displacement of the left eye and double vision that has worsened over 18 months. Medical history reveals surgical repair with open reduction and internal fixation of a frontal bone fracture when the child was 2 years old. An accompanying image demonstrates the current condition. Which of the following factors during the initial surgical repair most likely led to this deformity?
A) Inadequate frontal sinus obliteration
B) Unrecognized dural tear and deficiency
C) Incomplete repair of periorbital tissue tears
D) Improper bone fragment alignment during fixation
E) Application of resorbable fixation plates","B)
The correct answer is B because unrecognized dural tears in pediatric skull fractures can lead to growing skull fractures (GSF) when cerebrospinal fluid pulsations prevent proper healing and cause progressive bone separation. Early recognition and repair of dural defects prevents GSF development and associated complications like orbital displacement. A is incorrect because the frontal sinus doesn't develop until around age 2 and wasn't present during the original injury, making obliteration unnecessary. C is incorrect because periorbital laceration repair doesn't prevent growing skull fractures. D is incorrect because poor bone alignment alone doesn't cause progressive deformity without underlying dural pathology. E is incorrect because absorbable plates are not associated with growing skull fracture development."
pk9^~tk~ne,congenital-syndromes,1,need photo,2026-04-15 18:56:06.406633,2026-04-15 18:56:06.406633,true,false,"In normal development, which cranial suture (A-E) shown in the illustrations undergoes closure earliest?
A) Sagittal
B) Metopic
C) Coronal
D) Lambdoid
E) Squamosal","B)
Normal physiologic closure of the metopic suture occurs earliest among all cranial sutures. Contemporary research indicates closure begins earlier than previously documented, potentially starting as early as 6 months of age. The remaining sutures close significantly later in life: the sagittal suture closes around 22 years, the coronal suture at approximately 24 years, the lambdoid suture near 26 years, and the squamosal suture at about 35 years of age. A is incorrect because the sagittal suture closes much later at around 22 years. C is incorrect because the coronal suture closes at approximately 24 years. D is incorrect because the lambdoid suture closes around 26 years. E is incorrect because the squamosal suture is the last to close at about 35 years."
